encoding qubits,number of iterations,rotations,eigenvalue
4,90,39,2.0
4,1,0,-2.0
4,2,2,-1.0
4,3,7,-1.0
4,4,4,-7.0
4,5,8,4.0
4,6,16,4.0
4,7,22,26.0
4,8,42,12.0
4,9,32,26.0
4,10,43,-7.0
4,20,79,12.0
4,30,50,-7.0
4,40,25,-2.0
4,50,30,12.0
4,60,79,12.0
4,70,55,12.0
4,80,75,-1.0
4,90,37,-7.0
4,1,0,0.0
4,2,2,0.0
4,3,7,-7.0
4,4,12,-1.0
4,5,16,0.0
4,6,51,5.0
4,7,33,12.0
4,8,55,5.0
4,9,70,-1.0
4,10,64,5.0
4,20,35,-1.0
4,30,27,2.0
4,40,46,5.0
4,50,33,26.0
4,60,18,26.0
4,70,80,5.0
4,80,47,12.0
4,90,79,5.0
4,1,0,0.0
4,2,2,-2.0
4,3,9,-1.0
4,4,3,-2.0
4,5,50,2.0
4,6,55,2.0
4,7,34,12.0
4,8,41,-7.0
4,9,60,26.0
4,10,79,-2.0
4,20,39,2.0
4,30,36,26.0
4,40,50,12.0
4,50,34,4.0
4,60,24,4.0
4,70,56,5.0
4,80,35,5.0
4,90,66,-7.0
4,1,0,-1.0
4,2,2,2.0
4,3,16,12.0
4,4,12,-2.0
4,5,72,4.0
4,6,33,12.0
4,7,76,12.0
4,8,36,26.0
4,9,54,-7.0
4,10,79,5.0
4,20,44,-7.0
4,30,29,5.0
4,40,57,12.0
4,50,20,5.0
4,60,78,-7.0
4,70,36,-7.0
4,80,34,5.0
4,90,51,12.0
4,1,0,-1.0
4,2,1,26.0
4,3,7,-2.0
4,4,8,2.0
4,5,37,12.0
4,6,35,-7.0
4,7,25,-2.0
4,8,35,5.0
4,9,66,12.0
4,10,58,12.0
4,20,38,-1.0
4,30,25,5.0
4,40,20,-7.0
4,50,55,-1.0
4,60,41,12.0
4,70,67,-7.0
4,80,38,5.0
4,90,45,5.0
4,1,0,-7.0
4,2,0,-7.0
4,3,8,-1.0
4,4,11,2.0
4,5,5,0.0
4,6,46,5.0
4,7,26,5.0
4,8,22,0.0
4,9,61,-7.0
4,10,34,-7.0
4,20,31,4.0
4,30,36,2.0
4,40,47,5.0
4,50,41,-7.0
4,60,43,-7.0
4,70,55,26.0
4,80,45,-7.0
4,90,69,12.0
4,1,0,0.0
4,2,0,-7.0
4,3,3,-2.0
4,4,3,0.0
4,5,11,2.0
4,6,80,-7.0
4,7,47,-2.0
4,8,26,5.0
4,9,41,-7.0
4,10,62,5.0
4,20,63,12.0
4,30,55,-1.0
4,40,34,-7.0
4,50,79,5.0
4,60,54,-1.0
4,70,31,2.0
4,80,48,-1.0
4,90,64,-7.0
4,1,0,12.0
4,2,1,4.0
4,3,6,-1.0
4,4,17,12.0
4,5,25,-7.0
4,6,10,2.0
4,7,17,4.0
4,8,42,5.0
4,9,28,-1.0
4,10,50,-7.0
4,20,41,-2.0
4,30,71,12.0
4,40,33,26.0
4,50,74,-7.0
4,60,32,-1.0
4,70,37,5.0
4,80,37,-7.0
4,90,41,-1.0
4,1,0,0.0
4,2,1,-1.0
4,3,3,-7.0
4,4,7,-1.0
4,5,9,-1.0
4,6,32,5.0
4,7,14,-1.0
4,8,46,26.0
4,9,39,2.0
4,10,30,-7.0
4,20,42,-1.0
4,30,65,2.0
4,40,36,-7.0
4,50,60,2.0
4,60,64,26.0
4,70,39,-1.0
4,80,22,-7.0
4,90,44,-1.0
4,1,0,-7.0
4,2,2,5.0
4,3,8,-2.0
4,4,22,-7.0
4,5,10,2.0
4,6,55,2.0
4,7,15,-7.0
4,8,31,2.0
4,9,37,2.0
4,10,44,-7.0
4,20,71,5.0
4,30,43,-1.0
4,40,29,-7.0
4,50,57,2.0
4,60,21,-7.0
4,70,81,12.0
4,80,51,-1.0
4,90,54,26.0
4,1,0,-1.0
4,2,0,-1.0
4,3,10,12.0
4,4,16,5.0
4,5,22,-7.0
4,6,29,-2.0
4,7,41,-7.0
4,8,79,-7.0
4,9,54,5.0
4,10,73,26.0
4,20,38,-7.0
4,30,33,-1.0
4,40,64,26.0
4,50,70,-2.0
4,60,66,12.0
4,70,35,-1.0
4,80,29,5.0
4,90,30,12.0
4,1,0,0.0
4,2,1,2.0
4,3,0,-7.0
4,4,2,0.0
4,5,11,2.0
4,6,5,-7.0
4,7,69,26.0
4,8,53,-2.0
4,9,79,5.0
4,10,51,12.0
4,20,31,5.0
4,30,55,2.0
4,40,79,-7.0
4,50,50,-2.0
4,60,52,-1.0
4,70,35,2.0
4,80,56,26.0
4,90,79,-7.0
4,1,0,-1.0
4,2,0,-1.0
4,3,7,26.0
4,4,6,0.0
4,5,53,26.0
4,6,51,12.0
4,7,49,-7.0
4,8,13,5.0
4,9,38,-2.0
4,10,41,12.0
4,20,41,0.0
4,30,56,4.0
4,40,36,12.0
4,50,29,0.0
4,60,37,26.0
4,70,79,-7.0
4,80,79,-1.0
4,90,62,5.0
4,1,0,-1.0
4,2,1,26.0
4,3,1,-1.0
4,4,6,4.0
4,5,21,2.0
4,6,47,-2.0
4,7,42,5.0
4,8,44,-2.0
4,9,57,12.0
4,10,43,5.0
4,20,60,26.0
4,30,28,12.0
4,40,60,-7.0
4,50,21,5.0
4,60,41,2.0
4,70,39,5.0
4,80,41,5.0
4,90,45,-7.0
4,1,0,-7.0
4,2,0,-1.0
4,3,6,2.0
4,4,3,-7.0
4,5,13,-7.0
4,6,33,2.0
4,7,25,12.0
4,8,61,2.0
4,9,68,-7.0
4,10,25,-7.0
4,20,58,-2.0
4,30,72,-7.0
4,40,43,12.0
4,50,40,-2.0
4,60,42,-7.0
4,70,58,-1.0
4,80,16,4.0
4,90,49,-7.0
4,1,0,12.0
4,2,0,-1.0
4,3,2,-7.0
4,4,7,12.0
4,5,17,12.0
4,6,7,-1.0
4,7,25,-1.0
4,8,40,-1.0
4,9,45,-1.0
4,10,56,12.0
4,20,28,-1.0
4,30,58,-1.0
4,40,39,5.0
4,50,46,-7.0
4,60,19,4.0
4,70,30,-1.0
4,80,46,26.0
4,90,55,2.0
4,1,0,4.0
4,2,2,26.0
4,3,4,-1.0
4,4,2,12.0
4,5,35,-1.0
4,6,11,-7.0
4,7,36,12.0
4,8,44,26.0
4,9,42,4.0
4,10,29,-7.0
4,20,31,4.0
4,30,32,-2.0
4,40,43,5.0
4,50,68,12.0
4,60,50,-7.0
4,70,21,-1.0
4,80,62,-7.0
4,90,17,12.0
4,1,0,0.0
4,2,1,4.0
4,3,2,-2.0
4,4,5,-1.0
4,5,30,12.0
4,6,44,-1.0
4,7,44,4.0
4,8,25,-7.0
4,9,28,2.0
4,10,44,-7.0
4,20,34,-7.0
4,30,32,-2.0
4,40,36,-1.0
4,50,79,-2.0
4,60,29,-2.0
4,70,70,12.0
4,80,47,5.0
4,90,42,2.0
4,1,0,-1.0
4,2,3,4.0
4,3,9,5.0
4,4,15,-7.0
4,5,33,-2.0
4,6,44,-7.0
4,7,35,2.0
4,8,21,-7.0
4,9,75,5.0
4,10,37,0.0
4,20,62,12.0
4,30,38,-7.0
4,40,66,-7.0
4,50,37,26.0
4,60,25,5.0
4,70,79,-1.0
4,80,18,-2.0
4,90,51,-2.0
4,1,0,0.0
4,2,0,-1.0
4,3,3,-1.0
4,4,8,-1.0
4,5,16,-1.0
4,6,26,-7.0
4,7,31,5.0
4,8,36,2.0
4,9,64,5.0
4,10,65,-7.0
4,20,45,4.0
4,30,39,-2.0
4,40,27,-1.0
4,50,39,26.0
4,60,79,12.0
4,70,44,12.0
4,80,71,5.0
4,90,33,2.0
4,1,0,-7.0
4,2,0,5.0
4,3,5,12.0
4,4,19,2.0
4,5,4,26.0
4,6,35,12.0
4,7,28,12.0
4,8,25,4.0
4,9,20,-2.0
4,10,47,-1.0
4,20,31,-1.0
4,30,79,2.0
4,40,51,26.0
4,50,35,-7.0
4,60,59,-2.0
4,70,42,-2.0
4,80,61,2.0
4,90,63,2.0
4,1,0,0.0
4,2,0,-1.0
4,3,3,-1.0
4,4,8,4.0
4,5,4,26.0
4,6,78,-1.0
4,7,20,26.0
4,8,24,12.0
4,9,21,-1.0
4,10,79,12.0
4,20,50,-1.0
4,30,80,26.0
4,40,73,-7.0
4,50,32,12.0
4,60,34,2.0
4,70,43,26.0
4,80,41,-1.0
4,90,79,4.0
4,1,0,-1.0
4,2,0,0.0
4,3,1,-7.0
4,4,10,-7.0
4,5,12,4.0
4,6,41,5.0
4,7,60,26.0
4,8,33,-1.0
4,9,54,-7.0
4,10,38,-7.0
4,20,79,2.0
4,30,41,12.0
4,40,56,26.0
4,50,48,-7.0
4,60,39,26.0
4,70,40,2.0
4,80,34,5.0
4,90,58,-7.0
4,1,0,-1.0
4,2,0,-7.0
4,3,2,-7.0
4,4,8,12.0
4,5,13,-1.0
4,6,29,12.0
4,7,13,4.0
4,8,46,-7.0
4,9,34,12.0
4,10,52,-1.0
4,20,72,-1.0
4,30,79,-2.0
4,40,27,26.0
4,50,54,-2.0
4,60,37,2.0
4,70,21,-7.0
4,80,60,-7.0
4,90,62,26.0
4,1,0,0.0
4,2,1,26.0
4,3,1,-7.0
4,4,3,-1.0
4,5,28,5.0
4,6,32,0.0
4,7,44,-7.0
4,8,79,-1.0
4,9,67,-1.0
4,10,51,2.0
4,20,56,5.0
4,30,31,2.0
4,40,79,5.0
4,50,46,12.0
4,60,31,5.0
4,70,26,5.0
4,80,41,5.0
4,90,27,-7.0
4,1,0,0.0
4,2,1,12.0
4,3,7,-2.0
4,4,11,5.0
4,5,25,4.0
4,6,25,5.0
4,7,22,4.0
4,8,47,-2.0
4,9,39,2.0
4,10,62,-1.0
4,20,35,-1.0
4,30,57,4.0
4,40,51,12.0
4,50,76,-7.0
4,60,51,2.0
4,70,39,26.0
4,80,36,-7.0
4,90,51,-7.0
4,1,0,12.0
4,2,1,26.0
4,3,7,12.0
4,4,12,5.0
4,5,70,26.0
4,6,13,-7.0
4,7,71,5.0
4,8,30,2.0
4,9,52,12.0
4,10,39,-2.0
4,20,35,4.0
4,30,59,2.0
4,40,56,4.0
4,50,57,-7.0
4,60,70,-7.0
4,70,79,-1.0
4,80,42,-7.0
4,90,41,2.0
4,1,0,0.0
4,2,2,12.0
4,3,10,12.0
4,4,12,2.0
4,5,10,-1.0
4,6,32,2.0
4,7,20,26.0
4,8,71,12.0
4,9,25,-7.0
4,10,26,-7.0
4,20,61,26.0
4,30,53,-1.0
4,40,79,4.0
4,50,65,-7.0
4,60,54,4.0
4,70,31,4.0
4,80,75,-7.0
4,90,68,-2.0
4,1,0,5.0
4,2,4,2.0
4,3,4,4.0
4,4,5,-7.0
4,5,6,12.0
4,6,51,12.0
4,7,19,0.0
4,8,23,26.0
4,9,51,12.0
4,10,52,-7.0
4,20,80,26.0
4,30,30,12.0
4,40,75,5.0
4,50,70,26.0
4,60,50,12.0
4,70,71,-2.0
4,80,65,5.0
4,90,40,5.0
4,1,0,-7.0
4,2,1,12.0
4,3,3,-1.0
4,4,5,-1.0
4,5,28,-1.0
4,6,20,2.0
4,7,17,5.0
4,8,22,-7.0
4,9,57,12.0
4,10,24,-2.0
4,20,52,-7.0
4,30,48,-7.0
4,40,71,4.0
4,50,32,5.0
4,60,34,5.0
4,70,44,2.0
4,80,39,-1.0
4,90,37,5.0
4,1,0,0.0
4,2,1,-1.0
4,3,14,26.0
4,4,20,-2.0
4,5,22,5.0
4,6,42,-1.0
4,7,63,2.0
4,8,20,12.0
4,9,40,12.0
4,10,61,4.0
4,20,19,2.0
4,30,33,2.0
4,40,79,5.0
4,50,43,26.0
4,60,39,-1.0
4,70,42,12.0
4,80,53,26.0
4,90,47,2.0
4,1,0,0.0
4,2,2,4.0
4,3,2,-7.0
4,4,10,-7.0
4,5,2,-1.0
4,6,31,0.0
4,7,11,12.0
4,8,21,-1.0
4,9,45,26.0
4,10,29,-1.0
4,20,35,2.0
4,30,38,-1.0
4,40,27,5.0
4,50,28,-2.0
4,60,44,-2.0
4,70,27,-1.0
4,80,48,26.0
4,90,55,2.0
4,1,0,-7.0
