encoding qubits,eigenvalue,time
6,-7.0,8.922031879425049
7,-7.0,2.647429943084717
8,-7.0,2.861438035964966
9,-7.0,5.370729207992554

2,-1.0,1.8816637992858887
3,5.0,2.5578560829162598
4,5.0,3.0724599361419678
5,-1.0,5.605861186981201
6,-1.0,6.304111957550049
7,-7.0,2.384552001953125
8,-7.0,2.3448359966278076
9,-7.0,3.635579824447632

2,-1.0,1.471174716949463
3,-1.0,2.4305431842803955
4,-1.0,3.3198206424713135
5,12.0,2.9301979541778564
6,-1.0,1.520292043685913
7,-7.0,2.2017998695373535
8,-7.0,2.403463840484619
9,-7.0,4.682474136352539

2,4.0,2.307833194732666
3,-7.0,2.897726058959961
4,-7.0,3.647218942642212
5,-1.0,4.367642879486084
6,-1.0,3.481438398361206
7,-7.0,1.633056879043579
8,-7.0,2.9665961265563965
9,-7.0,5.231125116348267

2,26.0,1.9839909076690674
3,0.0,2.568310022354126
4,-7.0,2.762101888656616
5,-7.0,1.5687170028686523
6,-7.0,5.953706979751587
7,-7.0,1.4711039066314697
8,-7.0,4.673659086227417
9,-7.0,4.9396069049835205

2,26.0,1.6269721984863281
3,12.0,2.281351089477539
4,2.0,2.6424367427825928
5,-7.0,1.2710981369018555
6,-1.0,8.552390813827515
7,-7.0,1.235640048980713
8,-7.0,3.022243022918701
9,-7.0,3.313601016998291

2,-7.0,1.4333839416503906
3,-7.0,1.3419928550720215
4,-7.0,2.998591184616089
5,2.0,3.174478769302368
6,26.0,6.115314245223999
7,-7.0,1.9504759311676025
8,-7.0,2.3753011226654053
9,-7.0,6.071632146835327

2,2.0,1.4585330486297607
3,12.0,1.7672979831695557
4,5.0,2.637877941131592
5,-1.0,2.9296669960021973
6,5.0,2.5869579315185547
7,-7.0,3.371427059173584
8,-7.0,2.651181697845459
9,-7.0,6.067697286605835

2,-7.0,1.6980175971984863
3,-2.0,2.300420045852661
4,-7.0,1.9034171104431152
5,-7.0,5.152389049530029
6,-7.0,7.064342737197876
7,-7.0,1.8077189922332764
8,-7.0,2.509948968887329
9,-7.0,4.8366241455078125

2,-7.0,1.6650547981262207
3,4.0,2.294210195541382
4,-1.0,2.5372250080108643
5,26.0,3.1858768463134766
6,-7.0,8.703715801239014
7,-7.0,1.7579803466796875
8,-7.0,3.310778856277466
9,-7.0,4.344547271728516

2,4.0,0.9115128517150879
3,12.0,1.8259682655334473
4,-2.0,2.719122886657715
5,2.0,3.386462926864624
6,4.0,5.6352009773254395
7,-7.0,1.5017988681793213
8,-7.0,3.2043521404266357
9,-7.0,3.5490942001342773

2,-7.0,1.9370779991149902
3,5.0,2.327623128890991
4,-1.0,3.3159570693969727
5,12.0,6.113263845443726
6,-7.0,7.36256217956543
7,-7.0,1.5844089984893799
8,-7.0,3.0943799018859863
9,-7.0,3.720292806625366

2,5.0,1.3995230197906494
3,-1.0,0.9145181179046631
4,2.0,6.00972580909729
5,-7.0,4.48916482925415
6,-1.0,6.126178026199341
7,-7.0,1.5177810192108154
8,-7.0,1.899334192276001
9,-7.0,6.111279726028442

2,-1.0,1.1828851699829102
3,-1.0,1.876504898071289
4,4.0,2.5597429275512695
5,12.0,4.4303600788116455
6,2.0,4.340134143829346
7,-7.0,2.3505327701568604
8,-7.0,1.9979541301727295
9,-7.0,4.02231502532959

2,4.0,1.0638649463653564
3,4.0,1.363619089126587
4,26.0,3.056593894958496
5,12.0,0.8810880184173584
6,-1.0,6.89934515953064
7,-7.0,1.54616379737854
8,-7.0,2.1313259601593018
9,-7.0,6.850409984588623

2,0.0,3.3143398761749268
3,-7.0,2.1054210662841797
4,-1.0,5.532578945159912
5,-7.0,3.724097967147827
6,-2.0,5.733371257781982
7,-7.0,2.1551408767700195
8,-7.0,2.278191089630127
9,-7.0,3.6443679332733154

2,12.0,1.6431007385253906
3,-1.0,1.8575990200042725
4,12.0,3.9353432655334473
5,-2.0,3.93582820892334
6,-1.0,5.173125743865967
7,-7.0,2.8758208751678467
8,-7.0,1.7058939933776855
9,-7.0,6.6693620681762695

2,12.0,0.8111109733581543
3,-7.0,3.0780069828033447
4,12.0,3.2874670028686523
5,-7.0,6.366663932800293
6,-7.0,5.4414222240448
7,-7.0,1.8568859100341797
8,-7.0,3.573899030685425
9,-7.0,6.77020788192749

2,-7.0,2.1676981449127197
3,12.0,1.9676778316497803
4,2.0,2.3092010021209717
5,-1.0,3.121419906616211
6,-1.0,5.495033025741577
7,-7.0,1.0789408683776855
8,-7.0,3.3322250843048096
9,-7.0,4.087950229644775

2,0.0,1.6383788585662842
3,-1.0,3.144394874572754
4,26.0,3.2032041549682617
5,-2.0,4.436469078063965
6,-1.0,7.98393702507019
7,-7.0,2.22448992729187
8,-7.0,0.964040994644165
9,-7.0,3.944920778274536

2,-1.0,2.1647040843963623
3,-1.0,2.9259519577026367
4,-7.0,4.317417144775391
5,-7.0,3.5376052856445312
6,2.0,3.7515711784362793
7,-7.0,2.437690019607544
8,-7.0,3.311743974685669
9,-7.0,4.325395822525024

2,5.0,3.0085160732269287
3,4.0,3.3292899131774902
4,-1.0,2.7827279567718506
5,-7.0,2.438035011291504
6,-2.0,5.8829710483551025
7,-7.0,2.378253698348999
8,-7.0,2.7193567752838135
9,-7.0,4.168668031692505

2,-7.0,0.35901308059692383
3,0.0,3.7921040058135986
4,26.0,3.3078560829162598
5,-2.0,4.251335859298706
6,2.0,3.3442068099975586
7,-7.0,1.6194689273834229
8,-7.0,2.454590082168579
9,-7.0,5.92710018157959

2,-1.0,2.324462890625
3,5.0,1.5381171703338623
4,4.0,2.6993279457092285
5,26.0,4.572014808654785
6,-7.0,3.8596949577331543
7,-7.0,2.299184799194336
8,-7.0,2.4079370498657227
9,-7.0,6.747817039489746

2,2.0,1.0923891067504883
3,0.0,2.4388349056243896
4,5.0,4.4757020473480225
5,12.0,4.128377199172974
6,-7.0,3.292656898498535
7,-7.0,1.695924997329712
8,-7.0,3.6297831535339355
9,-7.0,5.272763967514038

2,2.0,2.8485660552978516
3,12.0,1.951246976852417
4,26.0,3.1562857627868652
5,-7.0,4.410559892654419
6,-7.0,5.7446448802948
7,-7.0,1.689525842666626
8,-7.0,2.803354024887085
9,-7.0,4.767890930175781

2,-7.0,2.350943088531494
3,-1.0,1.6864840984344482
4,-1.0,2.7513771057128906
5,-7.0,3.7943029403686523
6,-2.0,4.669663906097412
7,-7.0,1.010835886001587
8,-7.0,2.6639678478240967
9,-7.0,4.203189849853516

2,-7.0,3.2958970069885254
3,12.0,4.283205032348633
4,4.0,5.1431968212127686
5,2.0,4.7606306076049805
6,26.0,7.928972959518433
7,-7.0,2.0069591999053955
8,-7.0,2.302485227584839
9,-7.0,3.037760019302368

2,12.0,0.2962212562561035
3,0.0,3.9590063095092773
4,2.0,3.284080982208252
5,12.0,0.7644960880279541
6,-1.0,5.739344120025635
7,-7.0,1.4416508674621582
8,-7.0,3.826296091079712
9,-7.0,2.2536461353302

2,5.0,1.6857857704162598
3,0.0,3.196514844894409
4,-1.0,2.2723309993743896
5,-7.0,2.398561954498291
6,26.0,6.54338002204895
7,-7.0,1.467970848083496
8,-7.0,2.382528066635132
9,-7.0,3.3849902153015137

2,5.0,2.7721941471099854
3,-7.0,2.6216907501220703
4,-1.0,3.520159959793091
5,0.0,4.247326135635376
6,-2.0,8.682596206665039
7,-7.0,1.78645920753479
8,-7.0,1.6969358921051025
9,-7.0,3.0883090496063232

2,-2.0,1.3990399837493896
