encoding qubits,number of iterations,solution,eigenvalue,time
4,80,{'x0': np.float64(0.0), 'x1': np.float64(0.0), 'x2': np.float64(1.0), 'x3': np.float64(0.0)},2.0,1.9521982669830322
4,90,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-7.0,2.65153169631958
4,1,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(0.0)},12.0,0.03732180595397949
4,2,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(0.0), 'x3': np.float64(1.0)},-1.0,0.05987095832824707
4,3,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(1.0)},12.0,0.7671148777008057
4,4,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-2.0,0.31279706954956055
4,5,{'x0': np.float64(0.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-7.0,1.3057949542999268
4,6,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-2.0,1.8768680095672607
4,7,{'x0': np.float64(0.0), 'x1': np.float64(0.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},4.0,2.4801721572875977
4,8,{'x0': np.float64(0.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},5.0,2.657561779022217
4,9,{'x0': np.float64(0.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-7.0,3.6108920574188232
4,10,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-2.0,4.181231260299683
4,20,{'x0': np.float64(0.0), 'x1': np.float64(1.0), 'x2': np.float64(1.0), 'x3': np.float64(0.0)},-1.0,4.837336778640747
4,30,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},26.0,3.2882730960845947
4,40,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},26.0,3.0812628269195557
4,50,{'x0': np.float64(0.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},5.0,4.5809290409088135
4,60,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(1.0), 'x3': np.float64(1.0)},-7.0,2.900078773498535
4,70,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(0.0), 'x3': np.float64(1.0)},-1.0,2.733238935470581
4,80,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},5.0,1.8856780529022217
4,90,{'x0': np.float64(1.0), 'x1': np.float64(0.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},5.0,3.365528106689453
4,1,{'x0': np.float64(1.0), 'x1': np.float64(1.0), 'x2': np.float64(0.0), 'x3': np.float64(0.0)},26.0,0.051019906997680664
